,Open,High,Low,Close,Volume
2024-08-20,224.88,228.22,219.56,221.1,74001182
2024-08-21,222.67,224.6594,218.86,223.27,70145964
2024-08-22,223.82,224.8,210.32,210.66,79514482
2024-08-23,214.455,221.48,214.21,220.32,81525207
2024-08-26,218.75,219.09,211.01,213.21,59301187
2024-08-27,213.25,215.66,206.94,209.21,62821390
2024-08-28,209.72,211.84,202.59,205.75,64116350
2024-08-29,209.8,214.89,205.97,206.28,62308818
2024-08-30,208.63,214.5701,207.03,214.11,63370608
2024-09-03,215.26,219.9043,209.64,210.6,76714222
2024-09-04,210.59,222.22,210.57,219.41,80217329
2024-09-05,223.49,235.0,222.25,230.17,119355013
2024-09-06,232.6,233.6,210.51,210.73,112177004
2024-09-09,216.2,219.87,213.67,216.27,67443518
2024-09-10,220.07,226.4,218.6377,226.17,78891136
2024-09-11,224.55,228.47,216.8003,228.13,83548633
2024-09-12,224.66,231.45,223.83,229.81,72020042
2024-09-13,228.0,232.67,226.32,230.29,59515114
2024-09-16,229.3,229.96,223.53,226.78,54322995
2024-09-17,229.45,234.57,226.5533,227.87,66761636
2024-09-18,230.09,235.68,226.88,227.2,78010204
2024-09-19,234.0,244.24,232.13,243.92,102694576
2024-09-20,241.52,243.99,235.92,238.25,99879070
2024-09-23,242.61,250.0,241.92,250.0,86927194
2024-09-24,254.08,257.19,249.0501,254.27,88490999
2024-09-25,252.54,257.05,252.28,257.02,65034318
2024-09-26,260.6,261.75,251.53,254.22,67142193
2024-09-27,257.375,260.6999,254.12,260.46,70988067
2024-09-30,259.04,264.86,255.77,261.63,80873381
2024-10-01,262.67,263.98,248.53,258.02,87397613
2024-10-02,247.55,251.1585,241.5,249.02,93983930
2024-10-03,244.48,249.79,237.81,240.66,80729240
2024-10-04,246.69,250.96,244.58,250.08,86726285
2024-10-07,249.0,249.83,240.7,240.83,68113270
2024-10-08,243.56,246.21,240.56,244.5,56303160
2024-10-09,243.82,247.43,239.51,241.05,66289529
2024-10-10,241.81,242.7899,232.34,238.77,83087063
2024-10-11,220.13,223.34,214.38,217.8,142628874
2024-10-14,220.13,221.91,213.74,219.16,86291923
2024-10-15,220.01,224.26,217.12,219.57,62988787
2024-10-16,221.4,222.8199,218.93,221.33,49632824
2024-10-17,221.59,222.08,217.9,220.89,50791784
2024-10-18,220.71,222.28,219.23,220.7,49611867
2024-10-21,218.9,220.48,215.726,218.85,47328988
2024-10-22,217.31,218.22,215.26,217.97,43268741
2024-10-23,217.125,218.72,212.11,213.65,80938892
2024-10-24,244.68,262.1199,242.65,260.48,204491903
2024-10-25,256.01,269.49,255.32,269.19,161611931
2024-10-28,270.0,273.536,262.24,262.51,107653603
2024-10-29,264.51,264.98,255.51,259.52,80521751
2024-10-30,258.035,263.35,255.8201,257.55,53993576
2024-10-31,257.99,259.75,249.25,249.85,66575292
2024-11-01,252.043,254.0,246.63,248.98,57544757
2024-11-04,244.56,248.9,238.88,242.84,68802354
2024-11-05,247.34,255.2799,246.2101,251.44,69282505
2024-11-06,284.67,289.59,275.62,288.53,165228710
2024-11-07,288.89,299.75,285.52,296.91,117309232
2024-11-08,299.14,328.71,297.66,321.22,204782763
2024-11-11,346.3,358.64,336.0,350.0,210521625
2024-11-12,342.74,345.84,323.31,328.49,155726016
2024-11-13,335.85,344.5999,322.5,330.24,125405599
2024-11-14,327.69,329.98,310.37,311.18,120726109
2024-11-15,310.57,324.6799,309.22,320.72,114440286
2024-11-18,340.73,348.5499,330.01,338.74,126547455
2024-11-19,335.76,347.3799,332.75,346.0,88852452
2024-11-20,345.0,346.5999,334.3,342.03,66340650
2024-11-21,343.81,347.9899,335.28,339.64,58011719
2024-11-22,341.085,361.53,337.7,352.56,89140722
2024-11-25,360.14,361.93,338.2,338.59,95890899
2024-11-26,341.0,346.96,335.66,338.23,62295857
2024-11-27,341.8,342.55,326.59,332.89,57896439
2024-11-29,336.08,345.45,334.65,345.16,37167621
2024-12-02,352.38,360.0,351.1501,357.09,77986478
2024-12-03,351.8,355.69,348.2,351.42,58267196
2024-12-04,353.0,358.1,348.6,357.93,50810874
2024-12-05,359.87,375.43,359.5,369.49,81403569
2024-12-06,377.42,389.49,370.8,389.22,81455834
2024-12-09,397.61,404.8,378.01,389.79,96359173
2024-12-10,392.68,409.73,390.85,400.99,97563578
2024-12-11,409.7,424.88,402.38,424.77,104287559
2024-12-12,424.84,429.3,415.0,418.1,87752225
2024-12-13,420.0,436.3,415.71,436.23,89000158
2024-12-16,441.09,463.19,436.15,463.02,114083811
2024-12-17,475.9,483.99,457.5101,479.86,131222978
2024-12-18,466.495,488.5399,427.01,440.13,149340788
2024-12-19,451.88,456.36,420.02,436.17,118566146
2024-12-20,425.505,447.08,417.64,421.06,132216176
2024-12-23,431.0,434.51,415.4112,430.6,72698055
2024-12-24,435.9,462.78,435.14,462.28,59551750
2024-12-26,465.16,465.3299,451.02,454.13,76651210
2024-12-27,449.52,450.0,426.5,431.66,82666821
2024-12-30,419.4,427.0,415.75,417.41,64941012
2024-12-31,423.79,427.93,402.54,403.84,76825121
2025-01-02,390.1,392.7299,373.04,379.28,109710749
2025-01-03,381.48,411.8799,379.45,410.44,95423329
2025-01-06,423.2,426.43,401.7,411.05,85516534
2025-01-07,405.83,414.33,390.0,394.36,75699525
2025-01-08,392.95,402.4999,387.4,394.94,73038805
2025-01-10,391.4,399.28,377.29,394.74,62287333
2025-01-13,383.21,403.79,380.07,403.31,67580494
2025-01-14,414.34,422.64,394.54,396.36,84565022
2025-01-15,409.9,429.8,405.661,428.22,81375460
2025-01-16,423.49,424.0,409.13,413.82,68335151
2025-01-17,421.5,439.74,419.75,426.5,94991429
2025-01-21,432.64,433.2,406.31,424.07,87320894
2025-01-22,416.81,428.0,414.59,415.11,60963342
2025-01-23,416.06,420.73,408.95,412.38,50690592
2025-01-24,414.45,418.88,405.78,406.58,56427149
2025-01-27,394.8,406.69,389.0,397.15,58125510
2025-01-28,396.91,400.59,386.5,398.09,48910676
2025-01-29,395.21,398.5899,384.48,389.1,68033648
2025-01-30,410.78,412.5,384.41,400.28,98092879
2025-01-31,401.53,419.99,401.34,404.6,83568219
2025-02-03,386.68,389.17,374.36,383.68,93732122
2025-02-04,382.63,394.0,381.4,392.21,57072235
2025-02-05,387.51,388.39,375.53,378.17,57614721
2025-02-06,373.03,375.4,363.18,374.32,77918230
2025-02-07,370.19,380.5459,360.34,361.62,70298258
2025-02-10,356.21,362.7,350.51,350.73,77514903
2025-02-11,345.8,349.37,325.1,328.5,118543400
2025-02-12,329.94,346.4,329.12,336.51,105382729
2025-02-13,345.0,358.69,342.85,355.94,89441519
2025-02-14,360.62,362.0,347.5,355.84,68277279
2025-02-18,355.01,359.1,350.02,354.11,51631702
2025-02-19,354.0,367.34,353.67,360.56,67094374
2025-02-20,361.51,362.3,348.0,354.4,45965354
2025-02-21,353.44,354.98,334.42,337.8,74058648
2025-02-24,338.14,342.3973,324.7,330.53,76052321
2025-02-25,327.025,328.89,297.2512,302.8,134228777
2025-02-26,303.715,309.0,288.04,290.8,100118276
2025-02-27,291.16,297.23,280.88,281.95,101748197
2025-02-28,279.5,293.88,273.6,292.98,115696968
2025-03-03,300.34,303.94,277.3,284.65,115551414
2025-03-04,270.93,284.35,261.8401,272.04,126706623
2025-03-05,272.92,279.55,267.71,279.1,94042913
2025-03-06,272.06,272.65,260.02,263.45,98451566
2025-03-07,259.32,266.2499,250.73,262.67,102369640
2025-03-10,252.54,253.37,220.0,222.15,185037825
2025-03-11,225.305,237.0649,217.02,230.58,174896415
2025-03-12,247.22,251.84,241.1,248.09,142215681
2025-03-13,248.125,248.29,232.6,240.68,114813525
2025-03-14,247.31,251.58,240.73,249.98,100242264
2025-03-17,245.055,245.4,232.8,238.01,111900565
2025-03-18,228.155,230.1,222.28,225.31,111477636
2025-03-19,231.61,241.41,229.201,235.86,111993753
2025-03-20,233.345,238.0,230.0501,236.26,99028270
2025-03-21,234.985,249.52,234.55,248.71,132728684
2025-03-24,258.075,278.64,256.33,278.39,169079865
2025-03-25,283.6,288.2,271.28,288.14,150361538
2025-03-26,282.66,284.9,266.51,272.06,156254441
2025-03-27,272.48,291.85,271.8216,273.13,162572146
2025-03-28,275.575,276.1,260.57,263.55,123809389
2025-03-31,249.31,260.56,243.3601,259.16,134008936
2025-04-01,263.8,277.45,259.25,268.46,146486911
2025-04-02,254.6,284.99,251.27,282.76,212787817
2025-04-03,265.29,276.3,261.51,267.28,136174291
2025-04-04,255.38,261.0,236.0,239.43,181229353
2025-04-07,223.78,252.0,214.25,233.29,183453776
2025-04-08,245.0,250.44,217.8,221.86,171603472
2025-04-09,224.69,274.69,223.88,272.2,219433373
2025-04-10,260.0,262.49,239.33,252.4,181722604
2025-04-11,251.84,257.74,241.3629,252.31,128948085
2025-04-14,258.36,261.8,245.93,252.35,100135241
2025-04-15,249.91,258.75,247.54,254.11,79594318
2025-04-16,247.61,251.97,233.89,241.55,112378737
2025-04-17,243.47,244.34,237.6833,241.37,83404775
2025-04-21,230.26,232.21,222.79,227.5,97768007
2025-04-22,230.96,242.79,229.8501,237.97,120858452
2025-04-23,254.86,259.4499,244.43,250.74,150381903
2025-04-24,250.5,259.54,249.2,259.51,94464195
2025-04-25,261.69,286.85,259.63,284.95,167560688
2025-04-28,288.98,294.86,272.42,285.88,151731771
2025-04-29,285.5,293.32,279.4695,292.03,108906553
2025-04-30,279.9,284.45,270.78,282.16,128961057
2025-05-01,280.01,290.8688,279.81,280.52,99658974
2025-05-02,284.9,294.78,279.81,287.21,114454683
2025-05-05,284.57,284.849,274.4,280.26,94618882
2025-05-06,273.105,277.73,271.35,275.35,76715792
2025-05-07,276.88,277.92,271.0,276.22,71882408
2025-05-08,279.63,289.8,279.41,284.82,97539448
2025-05-09,290.21,307.04,290.0,298.26,132387835
